PART NUMBER	NAME	MAKE/MODEL	CATEGORY
04313-28020	Lower clutch kit	Prado 1KD	Genuine
90311-48022	Seal (Gear transfer Front seal)	LAND CRUISER 79	Aisin
13103-30102	Piston(0.50)	2KD	555(Japan)
90311-62001	Seal (Hub)	1HZ	Musashi
13711-54020	Intake Valve	HIACE 3L/79(IHZ)	555(Japan)
69810-60330	Welding Machine(manual)	LAND CRUISER 79(manual)	GMB Japan
R122h	Con Bearing(STD)(STD)	4D34	Taiho
48815-60170	Front Stabilizer D Bush	LAND CRUISER 79	Koyo japan
45047-69085	Rear Tie Rod	LAND CRUISER 79	Genuine
13715-17010	Exhaust Valve	1HZ	Genuine
48706-60030	Hard Pan Bush	1HZ	Genuine
GWT-91A	Water Pump	LAND CRUISER 75 Tourist	GMB Japan
R729A	Con bearing(0.25)	1HZ	Taiho
ZA-50TKB3505B1R-81`2	Release Bearing	3L	MK
12371-17080	Gearbox mounting	LAND CRUISER 79	555(Japan)
45044-69135	Tie rod Front	LAND CRUISER 79	OSK
12361-54143	Engine Mounting	Prado 1KD	RBI
17801-61030	Air filter	Prado 1KD	Genuine
16572-17020	Hose Pipe(lower)	LAND CRUISER 75 Tourist	Genuine
42323-60020	Conn washer	7L	Genuine
33368-35040	synchronizer ring (No 4 old)	LAND CRUISER 79	555(Japan)
69801-60030	Welding Machine(right hand)(automatic)	LAND CRUISER 79	555(Japan)
33037-35030	Ring Synchronizer (No 1)	LAND CRUISER 79	555(Japan)
T729A	Thrust washer(0.25)	1TR/2TR	GMB Japan
90311-35032	Seal (diff)	3L/5L (4x4)	OSK
13011-15050	Piston rings(STD)	LAND CRUISER 70 Series	Genuine
4094w	Axle bearing(with con)	5L/3L/1KD	Taiho
SWT10108ZZ	Piston rings(STD)	5L/3L	NPR
53510-60220	Bonnet Lock	LAND CRUISER 79	Digue
220-40582	Clutch kit Lower	5L/3L	Digue
KD2605	Brake Pads	7L	555(Japan)
90363-35030	Transfer Input Bearing(0.25)	LAND CRUISER 79	Genuine
04371-36050	Universal joint REAR	LAND CRUISER 75 Tourist	Genuine
CTX-125	Pressure Plate	2KD	Koyo japan
33368-35080	synchronizer ring (No 3)(new model)(0.50)	LAND CRUISER 79	Genuine
47061-60030	Adjuster(Right hand)	LAND CRUISER 79	OSK
LM48548/10	wheel bearing	5L/3L	Taiho
12361-17020	Engine Mounting	7L	Genuine
R729A	Con Bearing(0.50)	1TR/2TR	GMB Japan
17801-61030	Air filter	LAND CRUISER 79 Old Model	Taiho
69801-60030	Welding Machine(right hand)(automatic)	LAND CRUISER 79	GMB Japan
23380-17541	Feed Pump	Prado 1KD	Genuine
90311-45028	Seal (front diff)	LAND CRUISER 75 Tourist	Genuine
KD2605	Brake Pads	7L	GMB Japan
R729A	Con bearing(0.25)	1TR/2TR	Koyo japan
CTX-084	Pressure Plate	1KD/1HZ79	555(Japan)
33037-60050	Synchronizer ring (No 2)	LAND CRUISER 79	555(Japan)
M720AI	Main Bearing(0.25)	1KD/2KD/1KZ	Taiho
33212-35032	Fork (Number 1)	LAND CRUISER 79	OSK
T720A	Thrust washer(STD)	1KD/2KD/1KZ	GMB Japan
90385-13009	Front Link Bush/ Eye Bush	LAND CRUISER 79	Digue
45047-69085	Rear Tie Rod	5L/3L	Genuine
90501-08212	Compression Spring	LAND CRUISER 79	Digue
90942-02083	Wheel stand	1HZ	Genuine
42410-69025	Rear Hub Kit	LAND CRUISER 79	Digue
90364-38012	Needle Bearing(gear)	LAND CRUISER 79	GMB Japan
13711-54050	Exhaust Valve	HIACE 5L	Aisin
23390-0L041	Fuel Filter	1KD/2KD	GMB Japan
90311-38032	Seal (Tail oil seal)	Prado 1KD	Genuine
M729AI	Main Bearing(0.50)	1TR/2TR	Digue
90385-18022	Rear Rubber Spring Bush(0.50)	LAND CRUISER 79	Genuine
43521-60011	Stopper axle nut	LAND CRUISER 79	Taiho
69802-60030	welding Machine(left hand)(automatic)	7L	Genuine
90385-11021	Rear Link Bush/eye Bush	Prado 1KD	Genuine
16210-17070	Coupling/ Fan clutch	LAND CRUISER 70 Series	Genuine
90310-35010	Seal (Front tube seal)	LAND CRUISER 79	GMB Japan
M729AI	Main Bearing(STD)	1TR/2TR	All Parts
DT-036V	Clutch plate	HIACE 2L/3L	Genuine
16572-17020	Hose Pipe(lower)	LAND CRUISER 79	Koyo japan
33364-60070	Sleeve Transmission	1HZ	Genuine
17801-30040	Air filter	1KD/2KD	All Parts
T729A	Thrust washer(0.50)	LAND CRUISER 75 Tourist	Taiho
35892	Piston rings(0.50)	3L	GMB Japan
36211-60090	Connector shaft	LAND CRUISER 79	Digue
GUT-21	Universal joint	5L/3L	Koyo japan
90916-02452	Fan belt(set)	LAND CRUISER 79	GMB Japan
13711-30030	Intake Valve	1KD	Digue
GFT-223	Coupling/ Fan clutch	5L/3L	GMB Japan
90311-50051	Seal(Front crunk shaft seal)	Prado 1KD	Genuine
90363-35020	Gear bearing	7L	Genuine
GUT-20	Universal joint	LAND CRUISER 79(rear)	GMB Japan
04371-36050	Universal joint REAR	LAND CRUISER 79	Koyo japan
13101-54101a	Piston	5L/3L	Japan
90385-18022	Rear Rubber Spring Bush(STD)	LAND CRUISER 79	Genuine
48674-26040	Control Arm Bush	7L	GMB Japan
23380-17531	Feed Pump	LAND CRUISER 79	All Parts
13715-17010	Exhaust Valve	LAND CRUISER 79	MK
90311-32020	Seal(Cam shaft)	7L	Genuine
ZA-50TKB3505B1R-81`2	Release Bearing	3L	Digue
90215-42025	Stopper axle Washer	LAND CRUISER 79	Aisin
13011-54120	Piston rings(STD)	3L	Genuine
90363-35030	Transfer Input Bearing	LAND CRUISER 79	Digue
90501-08212	Compression Spring(0.25)	LAND CRUISER 79	Genuine
45045-69075	Tie rod Front	LAND CRUISER 79	Koyo japan
15121-54020	Oil Gear	3L/5L	555(Japan)
46410-60850	Handbrake cable	LAND CRUISER 79	Genuine
13013-54120	Piston rings(0.50)	3L	Taiho
48531-80547	Shock Absorber(Rear)	Prado 1KD	Genuine
K2280-01	Brake Lining	LAND CRUISER 70 Series	MK
30308DJR	Diff Bearing	LAND CRUISER 79	GMB Japan
DT-094L	Clutch plate	LAND CRUISER 70 Series	Japan(Aisin)
13711-54030	Intake Valve	1HZ	Genuine
GUT-21	Universal joint	7L	GMB Japan
90363-35020	Gear bearing	LAND CRUISER 79	555(Japan)
R720AI	Con Bearing(STD)(STD)	1KD/2KD/1KZ	Taiho
11701-75033-02	Con Bearing(STD)	7L	Genuine
43521-60011	Wheel Bearing Adjustment Kit	5L/3L	Genuine
33362-60031	hub	LAND CRUISER 79	Genuine
M042AI	Main Bearing(0.25)	LAND CRUISER 79	Taiho
04465-60340	Pad Kit Disc Brake Front	LAND CRUISER 75 Tourist	Genuine
33368-35080	synchronizer ring (No 3)(new model)	LAND CRUISER 79	Taiho
45044-69135	Tie rod Front	Prado 1KD	Genuine
43212-60251	Knucle	LAND CRUISER 79 New Model(left hand)	OSK
15121-54020	Oil Gear	3L/5L	GMB Japan
R720AI	Con Bearing(0.50)(0.25)	1KD/2KD/1KZ	Taiho
31230-60201	Release Bearing	LAND CRUISER 79	Taiho
DTX-172	Clutch plate	2KD	Japan(Aisin)
17567-61030	Exhaust Mountain	LAND CRUISER 79	GMB Japan
90365-34005	Gear bearing	LAND CRUISER 70 Series	Genuine
CTX--064	Pressure Plate	5L/3L	GMB Japan
04469-YZZF6	Brake Pads	LAND CRUISER 79	Genuine
T037A	Thrust washer(STD)	3L/5L/2L	Taiho
T720A	Thrust washer(0.25)	1KD/2KD/1KZ	Taiho
69058-60141	Fuel cap	LAND CRUISER 79	GMB Japan
90385-18021	Front Rubber Spring Bush	LAND CRUISER 79	All Parts
M042AI	Main Bearing(0.50)	1HZ	Taiho
11701-75033-02	Con Bearing(STD)	1HZ	Genuine
69810-60330	Welding Machine(manual)	LAND CRUISER 79(manual)	OSK
90999-70067	Copper bush	LAND CRUISER 79	GMB Japan
90311-50051	Seal(Front crunk shaft seal)	5L/3L	Genuine
T037A	Thrust washer(0.25)	3L/5L/2L	MK
